Timestamp, CPU Usage (%), Memory Usage (KB)
2025-02-10 09:59:51, 0, 7279516
2025-02-10 09:59:56, 7.97175, 7294392
2025-02-10 10:00:01, 6.1245, 7295400
2025-02-10 10:00:06, 10.4675, 7297408
2025-02-10 10:00:11, 7.09291, 7299200
2025-02-10 10:00:16, 12.6633, 7310944
2025-02-10 10:00:21, 10.0402, 7312456
2025-02-10 10:00:26, 38.6774, 7515352
2025-02-10 10:00:31, 35.6713, 7381612
2025-02-10 10:00:36, 34.2799, 7384172
2025-02-10 10:00:41, 34.6585, 7588116
2025-02-10 10:00:46, 13.6821, 7619348
2025-02-10 10:00:51, 51.5091, 7580840
2025-02-10 10:00:56, 24.0443, 7629704
2025-02-10 10:01:01, 13.9253, 7558132
2025-02-10 10:01:06, 8.06452, 7564932
2025-02-10 10:01:11, 6.20621, 7559672
2025-02-10 10:01:16, 7.85498, 7577824
2025-02-10 10:01:21, 7.73092, 7567196
2025-02-10 10:01:26, 18.4024, 7604460
2025-02-10 10:01:31, 51.1581, 7570892
2025-02-10 10:01:36, 23.6705, 7856616
2025-02-10 10:01:41, 5.43807, 7859892
2025-02-10 10:01:46, 8.0402, 7827468
2025-02-10 10:01:51, 4.81444, 7828476
2025-02-10 10:01:56, 8.38384, 7827200
2025-02-10 10:02:01, 5.93561, 7853068
2025-02-10 10:02:06, 9.55734, 7861948
2025-02-10 10:02:11, 6.23742, 7831352
2025-02-10 10:02:16, 10.6168, 7841276
2025-02-10 10:02:21, 7.8392, 7871172
2025-02-10 10:02:26, 7.93173, 7840644
2025-02-10 10:02:31, 9.30233, 7868196
2025-02-10 10:02:36, 7.64588, 7868404
2025-02-10 10:02:41, 6.92076, 7878800
2025-02-10 10:02:46, 15.8586, 7864412
2025-02-10 10:02:51, 15.6942, 7892000
2025-02-10 10:02:56, 8.77901, 7884948
2025-02-10 10:03:01, 5.63948, 7860460
2025-02-10 10:03:06, 12.173, 7892704
2025-02-10 10:03:11, 7.33668, 7898816
2025-02-10 10:03:16, 9.38446, 7912928
2025-02-10 10:03:21, 7.02811, 7922772
2025-02-10 10:03:26, 8.38384, 7905008
2025-02-10 10:03:31, 5.21565, 7900828
2025-02-10 10:03:36, 7.83133, 7891228
2025-02-10 10:03:41, 6.41283, 7902116
2025-02-10 10:03:46, 5.73441, 7878612
2025-02-10 10:03:51, 7.55287, 7874000
2025-02-10 10:03:56, 5.51655, 7890228
2025-02-10 10:04:01, 18.6373, 7873448
2025-02-10 10:04:06, 27.7048, 7842176
2025-02-10 10:04:11, 32.427, 7841444
2025-02-10 10:04:16, 23.7903, 7890428
2025-02-10 10:04:21, 20.1807, 7793192
2025-02-10 10:04:26, 7.56811, 7782360
2025-02-10 10:04:31, 23.34, 7737908
2025-02-10 10:04:36, 25.6307, 7776616
2025-02-10 10:04:41, 9.19192, 7827964
2025-02-10 10:04:46, 8.24121, 7803168
2025-02-10 10:04:51, 6.84794, 7820168
2025-02-10 10:04:56, 6.1245, 7780736
2025-02-10 10:05:01, 10.7322, 7803988
2025-02-10 10:05:06, 5.02513, 7796552
2025-02-10 10:05:11, 8.33333, 7803332
